Date,Jumlah EV - King,Jumlah EV - Snohomish,Jumlah EV - Pierce,Jumlah EV - Clark,Jumlah EV - Thurston,Jumlah EV - Kitsap,Jumlah EV - Spokane,Jumlah EV - Whatcom,Jumlah EV - Benton,Jumlah EV - Island
2010-02-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-03-31,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2010-04-30,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2010-05-31,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2010-06-30,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2010-07-31,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2010-08-31,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2010-09-30,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2010-10-31,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2010-11-30,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2010-12-31,17.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2011-01-31,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2011-02-28,33.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0
2011-03-31,42.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0
2011-04-30,73.0,8.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0
2011-05-31,125.0,14.0,2.0,9.0,4.0,5.0,5.0,3.0,2.0,1.0
2011-06-30,266.0,31.0,14.0,11.0,8.0,15.0,7.0,3.0,3.0,2.0
2011-07-31,412.0,59.0,27.0,21.0,13.0,20.0,14.0,6.0,4.0,4.0
2011-08-31,508.0,77.0,31.0,25.0,21.0,27.0,20.0,12.0,5.0,4.0
2011-09-30,584.0,86.0,38.0,26.0,27.0,31.0,24.0,13.0,6.0,4.0
2011-10-31,659.0,100.0,48.0,32.0,31.0,40.0,28.0,13.0,7.0,5.0
2011-11-30,715.0,104.0,53.0,41.0,37.0,44.0,29.0,15.0,10.0,5.0
2011-12-31,783.0,112.0,57.0,48.0,38.0,48.0,33.0,18.0,10.0,6.0
2012-01-31,829.0,126.0,66.0,53.0,40.0,52.0,35.0,19.0,11.0,6.0
2012-02-29,843.0,129.0,71.0,56.0,40.0,55.0,37.0,20.0,12.0,6.0
2012-03-31,894.0,142.0,83.0,64.0,44.0,63.0,40.0,22.0,14.0,8.0
2012-04-30,945.0,151.0,96.0,74.0,44.0,72.0,45.0,27.0,16.0,12.0
2012-05-31,1006.0,163.0,101.0,83.0,48.0,78.0,46.0,30.0,18.0,14.0
2012-06-30,1065.0,175.0,110.0,93.0,50.0,84.0,51.0,34.0,22.0,14.0
2012-07-31,1129.0,182.0,123.0,100.0,54.0,86.0,56.0,35.0,23.0,14.0
2012-08-31,1199.0,196.0,135.0,111.0,57.0,94.0,62.0,40.0,23.0,17.0
2012-09-30,1280.0,211.0,156.0,119.0,63.0,99.0,64.0,43.0,25.0,17.0
2012-10-31,1445.0,232.0,178.0,138.0,75.0,111.0,70.0,48.0,28.0,22.0
2012-11-30,1615.0,263.0,206.0,155.0,91.0,122.0,74.0,52.0,31.0,23.0
2012-12-31,1749.0,291.0,223.0,164.0,98.0,133.0,81.0,56.0,37.0,25.0
2013-01-31,1996.0,325.0,252.0,176.0,109.0,146.0,89.0,60.0,39.0,26.0
2013-02-28,2151.0,339.0,273.0,188.0,118.0,149.0,90.0,67.0,44.0,29.0
2013-03-31,2322.0,369.0,291.0,204.0,122.0,162.0,99.0,69.0,49.0,31.0
2013-04-30,2540.0,401.0,332.0,223.0,138.0,184.0,102.0,74.0,51.0,35.0
2013-05-31,2802.0,468.0,383.0,254.0,145.0,212.0,110.0,89.0,53.0,40.0
2013-06-30,3084.0,521.0,422.0,271.0,164.0,228.0,120.0,100.0,56.0,43.0
2013-07-31,3301.0,558.0,446.0,293.0,186.0,246.0,125.0,115.0,59.0,48.0
2013-08-31,3515.0,603.0,499.0,310.0,213.0,276.0,134.0,127.0,64.0,54.0
2013-09-30,3772.0,650.0,539.0,341.0,227.0,298.0,142.0,139.0,66.0,58.0
2013-10-31,4035.0,703.0,578.0,374.0,238.0,315.0,150.0,149.0,68.0,60.0
2013-11-30,4237.0,738.0,602.0,395.0,247.0,338.0,156.0,160.0,69.0,60.0
2013-12-31,4434.0,784.0,633.0,415.0,262.0,358.0,167.0,165.0,71.0,62.0
2014-01-31,4685.0,821.0,660.0,440.0,277.0,374.0,175.0,174.0,74.0,66.0
2014-02-28,4820.0,854.0,683.0,449.0,290.0,389.0,180.0,176.0,75.0,67.0
2014-03-31,4996.0,886.0,711.0,465.0,298.0,399.0,183.0,178.0,78.0,71.0
2014-04-30,5189.0,913.0,746.0,484.0,306.0,413.0,188.0,188.0,80.0,76.0
2014-05-31,5360.0,954.0,775.0,512.0,326.0,433.0,191.0,193.0,83.0,78.0
2014-06-30,5623.0,1017.0,824.0,534.0,345.0,449.0,205.0,200.0,87.0,79.0
2014-07-31,5918.0,1088.0,860.0,564.0,359.0,459.0,216.0,211.0,90.0,83.0
2014-08-31,6146.0,1147.0,899.0,591.0,371.0,474.0,229.0,219.0,93.0,90.0
2014-09-30,6382.0,1191.0,928.0,614.0,387.0,493.0,243.0,228.0,100.0,94.0
2014-10-31,6777.0,1272.0,978.0,648.0,410.0,513.0,256.0,235.0,103.0,101.0
2014-11-30,6985.0,1304.0,1005.0,665.0,433.0,533.0,262.0,242.0,109.0,104.0
2014-12-31,7262.0,1351.0,1027.0,684.0,447.0,551.0,271.0,248.0,113.0,108.0
2015-01-31,7548.0,1397.0,1060.0,708.0,457.0,569.0,287.0,256.0,116.0,109.0
2015-02-28,7736.0,1422.0,1077.0,722.0,467.0,576.0,294.0,260.0,118.0,112.0
2015-03-31,7922.0,1460.0,1107.0,746.0,476.0,589.0,300.0,265.0,127.0,115.0
2015-04-30,8202.0,1502.0,1149.0,768.0,497.0,613.0,307.0,281.0,134.0,118.0
2015-05-31,8380.0,1540.0,1177.0,786.0,504.0,629.0,316.0,290.0,137.0,122.0
2015-06-30,8701.0,1580.0,1208.0,811.0,523.0,637.0,320.0,312.0,142.0,128.0
2015-07-31,9106.0,1628.0,1251.0,841.0,534.0,658.0,334.0,320.0,150.0,135.0
2015-08-31,9329.0,1667.0,1283.0,865.0,544.0,671.0,342.0,336.0,155.0,141.0
2015-09-30,9561.0,1710.0,1309.0,889.0,554.0,683.0,351.0,348.0,164.0,145.0
2015-10-31,9852.0,1756.0,1336.0,912.0,571.0,695.0,360.0,355.0,165.0,150.0
2015-11-30,10052.0,1798.0,1363.0,931.0,581.0,705.0,366.0,360.0,171.0,151.0
2015-12-31,10369.0,1849.0,1386.0,953.0,591.0,716.0,377.0,369.0,171.0,156.0
2016-01-31,10636.0,1889.0,1423.0,980.0,603.0,728.0,381.0,381.0,175.0,161.0
2016-02-29,10853.0,1915.0,1445.0,1005.0,612.0,745.0,387.0,391.0,180.0,167.0
2016-03-31,11191.0,1950.0,1466.0,1027.0,622.0,762.0,396.0,412.0,185.0,172.0
2016-04-30,11547.0,1997.0,1494.0,1055.0,634.0,775.0,407.0,422.0,195.0,176.0
2016-05-31,11798.0,2043.0,1524.0,1083.0,651.0,789.0,419.0,432.0,199.0,179.0
2016-06-30,12137.0,2119.0,1553.0,1116.0,666.0,811.0,431.0,445.0,204.0,188.0
2016-07-31,12516.0,2184.0,1599.0,1140.0,681.0,837.0,440.0,456.0,209.0,193.0
2016-08-31,12933.0,2270.0,1663.0,1192.0,707.0,873.0,458.0,470.0,217.0,195.0
2016-09-30,13305.0,2340.0,1713.0,1225.0,732.0,898.0,471.0,481.0,225.0,201.0
2016-10-31,13827.0,2419.0,1752.0,1269.0,748.0,924.0,482.0,492.0,236.0,205.0
2016-11-30,14164.0,2488.0,1788.0,1292.0,771.0,947.0,491.0,507.0,247.0,208.0
2016-12-31,14593.0,2554.0,1841.0,1336.0,787.0,969.0,502.0,517.0,255.0,213.0
2017-01-31,15087.0,2645.0,1900.0,1389.0,807.0,992.0,512.0,533.0,262.0,226.0
2017-02-28,15551.0,2725.0,1972.0,1427.0,826.0,1014.0,523.0,551.0,272.0,230.0
2017-03-31,16000.0,2818.0,2019.0,1474.0,844.0,1038.0,533.0,575.0,280.0,239.0
2017-04-30,16448.0,2897.0,2077.0,1527.0,886.0,1063.0,547.0,603.0,284.0,243.0
2017-05-31,16914.0,2965.0,2118.0,1564.0,975.0,1085.0,563.0,623.0,291.0,245.0
2017-06-30,17411.0,3066.0,2175.0,1604.0,1005.0,1107.0,576.0,640.0,294.0,254.0
2017-07-31,17835.0,3135.0,2224.0,1634.0,1041.0,1131.0,594.0,654.0,308.0,261.0
2017-08-31,18255.0,3202.0,2263.0,1669.0,1064.0,1160.0,610.0,666.0,316.0,270.0
2017-09-30,18713.0,3314.0,2314.0,1714.0,1083.0,1184.0,627.0,689.0,325.0,274.0
2017-10-31,19245.0,3401.0,2366.0,1762.0,1103.0,1208.0,650.0,703.0,330.0,279.0
2017-11-30,19626.0,3478.0,2412.0,1788.0,1124.0,1227.0,657.0,719.0,337.0,289.0
2017-12-31,20012.0,3555.0,2465.0,1823.0,1146.0,1257.0,667.0,738.0,349.0,298.0
2018-01-31,20633.0,3660.0,2528.0,1884.0,1183.0,1292.0,686.0,762.0,362.0,305.0
2018-02-28,20990.0,3716.0,2576.0,1925.0,1193.0,1320.0,691.0,778.0,364.0,314.0
2018-03-31,21488.0,3809.0,2636.0,1988.0,1231.0,1347.0,700.0,801.0,374.0,330.0
2018-04-30,22030.0,3912.0,2721.0,2047.0,1263.0,1376.0,720.0,823.0,383.0,337.0
